,route,neighbourhood,sublocality,administrative_area,lat,long
1876,Aquatic Place,Arverne,Arverne,Queens County,40.5890901,-73.8022167
1877,Lincoln Place,Crown Heights,Crown Heights,Kings County,40.6697911,-73.9348558
1878,Shore Road,Bay Ridge,Bay Ridge,Kings County,40.6393755,-74.0352909
1879,215th Street,Flushing,Flushing,Queens County,40.7839472,-73.774951
1880,33rd Street,Astoria,Astoria,Queens County,40.7771999,-73.9073699
1881,215th Street,Flushing,Flushing,Queens County,40.7843012,-73.7761962
1882,202nd Street,Jamaica,Jamaica,Queens County,40.7187283,-73.7613065
1883,Amboy Road,Great Kills,Great Kills,Richmond County,40.552406,-74.1441129
1884,33rd Street,Astoria,Astoria,Queens County,40.7767119,-73.9077637
1885,Seafoam Street,New Dorp Beach,New Dorp Beach,Richmond County,40.5637297,-74.0993229
1886,Colonial Road,Bay Ridge,Bay Ridge,Kings County,40.6253464,-74.036404
1887,27th Street,Sunset Park,Sunset Park,Kings County,40.658549,-73.9981704
1888,West 80th Street,,Manhattan,New York County,40.7845327,-73.9789122
1889,67th Avenue,Fresh Meadows,Fresh Meadows,Queens County,40.7389649,-73.7774313
1890,Tiffany Place,Columbia Street Waterfront District,Columbia Street Waterfront District,Kings County,40.6870254,-74.0004951
1891,104th Avenue,Jamaica,Jamaica,Queens County,40.7118837,-73.742941
1892,Tudor City Place,,Manhattan,New York County,40.7482797,-73.9715473
1893,Ada Drive,Mid Island,Mid Island,Richmond County,40.6195692,-74.1550985
1894,Laconia Avenue,Williamsbridge,Williamsbridge,Bronx County,40.8750212,-73.8547365
1895,Brigham Street,Sheepshead Bay,Sheepshead Bay,Kings County,40.5980473,-73.9354323
1896,Kelly Boulevard,New Springville,New Springville,Richmond County,40.5898663,-74.1515902
1897,Lexington Avenue,Bedford-Stuyvesant,Bedford-Stuyvesant,Kings County,40.689193,-73.9397249
1898,Ebbitts Street,New Dorp Beach,New Dorp Beach,Richmond County,40.562056,-74.1052535
1899,Wallace Avenue,East Bronx,East Bronx,Bronx County,40.8533818,-73.8651554
1900,Beach 117th Street,Rockaway Park,Rockaway Park,Queens County,40.5780382,-73.8366684
1901,Pinehurst Avenue,,Manhattan,New York County,40.8544444,-73.9377977
1902,East 35th Street,,Manhattan,New York County,40.7468058,-73.9797483
1903,Lincoln Place,Park Slope,Park Slope,Kings County,40.6752414,-73.9729777
1904,Riverside Boulevard,,Manhattan,New York County,40.77508,-73.990303
1905,6th Avenue,,Manhattan,New York County,40.7251196,-74.0049023
1906,166th Street,Jamaica,Jamaica,Queens County,40.7109831,-73.7970163
1907,East 63rd Street,,Manhattan,New York County,40.764386,-73.9658214
1908,Shore Parkway,,Brooklyn,Kings County,40.5856282,-73.9879851
1909,Brighton 2nd Place,Brighton Beach,Brighton Beach,Kings County,40.5795498,-73.9658695
1910,Mann Avenue,Mid Island,Mid Island,Richmond County,40.6134167,-74.1334698
1911,Ocean Avenue,Midwood,Midwood,Kings County,40.6211681,-73.9559582
1912,East 22nd Street,,Manhattan,New York County,40.7400376,-73.9876681
1913,93rd Street,Fort Hamilton,Fort Hamilton,Kings County,40.6186895,-74.032363
1914,Fordham Hill Oval,Fordham Manor,Fordham Manor,Bronx County,40.8651305,-73.9068012
1915,Grand Concourse,West Bronx,West Bronx,Bronx County,40.847049,-73.9080117
1916,East 51st Street,East Flatbush,East Flatbush,Kings County,40.6488068,-73.9293919
1917,140th Street,Flushing,Flushing,Queens County,40.7318363,-73.8270224
1918,Lake Avenue,Mariners Harbor,Mariners Harbor,Richmond County,40.636611,-74.150256
1919,East 33rd Street,,Manhattan,New York County,40.744042,-73.9755798
1920,South 8th Street,Southside,Southside,Kings County,40.7102454,-73.9682413
1921,East 87th Street,Canarsie,Canarsie,Kings County,40.63818,-73.9071525
1922,Throgs Neck Boulevard,East Bronx,East Bronx,Bronx County,40.8167119,-73.8127515
1923,28th Avenue,Flushing,Flushing,Queens County,40.7719037,-73.8044794
1924,Avenue U,Mill Basin,Mill Basin,Kings County,40.612845,-73.9182251
1925,East 79th Street,,Manhattan,New York County,40.7764017,-73.9629479
1926,66th Avenue,Flushing,Flushing,Queens County,40.7287304,-73.8540818
1927,Waterside Plaza,,Manhattan,New York County,40.7343573,-74.0073312
1928,78th Street,Dyker Heights,Dyker Heights,Kings County,40.6208518,-74.0133836
1929,Grand Central Parkway,Glen Oaks,Glen Oaks,Queens County,40.7577974,-73.7159601
1930,West End Avenue,,Manhattan,New York County,40.7983784,-73.9712947
1931,Dover Street,Manhattan Beach,Manhattan Beach,Kings County,40.5801404,-73.9494604
1932,East 132nd Street,,Manhattan,New York County,40.8102659,-73.9382868
1933,East 221st Street,Williamsbridge,Williamsbridge,Bronx County,40.8849291,-73.8613097
1934,Emmons Avenue,Sheepshead Bay,Sheepshead Bay,Kings County,40.5839568,-73.9420847
1935,Cross Island Parkway,Whitestone,Whitestone,Queens County,40.7864852,-73.8017612
1936,53rd Avenue,Elmhurst,Elmhurst,Queens County,40.7392278,-73.8677036
1937,Hamilton Avenue,Mid Island,Mid Island,Richmond County,40.6449121,-74.0787385
1938,West 12th Street,,Manhattan,New York County,40.7377131,-74.0087585
1939,East 88th Street,,Manhattan,New York County,40.7801822,-73.9536507
1940,East 14th Street,,Manhattan,New York County,40.7329326,-73.9858654
1941,Grand Street,Southside,Southside,Kings County,40.7108846,-73.9496434
1942,West 150th Street,,Manhattan,New York County,40.8290653,-73.9463359
1943,,Windsor Terrace,Windsor Terrace,Kings County,40.6533033,-73.9730719
1944,Newel Street,Greenpoint,Greenpoint,Kings County,40.7273631,-73.948662
1945,West Street,,Manhattan,New York County,40.7316025,-74.0100989
1946,Maine Avenue,Mid Island,Mid Island,Richmond County,40.6217558,-74.1413145
1947,68th Avenue,Middle Village,Middle Village,Queens County,40.711017,-73.8723608
1948,Glenwood Street,Flushing,Flushing,Queens County,40.7714061,-73.732929
1949,Gray Street,Flushing,Flushing,Queens County,40.7149915,-73.8775275
1950,55th Street,Flushing,Flushing,Queens County,40.7148444,-73.9102315
1951,43rd Avenue,Flushing,Flushing,Queens County,40.7468366,-73.8644973
1952,Jaffray Street,Manhattan Beach,Manhattan Beach,Kings County,40.5789619,-73.9430773
1953,East 36th Street,,Manhattan,New York County,40.7467649,-73.976998
1954,5th Avenue,,Manhattan,New York County,40.7780041,-73.9625466
1955,Crown Avenue,Woodrow,Woodrow,Richmond County,40.5504262,-74.186404
1956,National Drive,Mill Basin,Mill Basin,Kings County,40.6062747,-73.9157858
1957,West 24 Street,,Manhattan,New York County,40.747844,-74.00189
1958,62nd Avenue,Rego Park,Rego Park,Queens County,40.7352736,-73.8566546
1959,,Rego Park,Rego Park,Queens County,40.7337965,-73.8620837
1960,5th Avenue,,Manhattan,New York County,40.7662872,-73.9711965
1961,33rd Street,Astoria,Astoria,Queens County,40.7753841,-73.90928
1962,Henry Street,Carroll Gardens,Carroll Gardens,Kings County,40.6820276,-74.000601
1963,Johnston Terrace,Prince's Bay,Prince's Bay,Richmond County,40.513375,-74.202668
1964,Benham Street,Elmhurst,Elmhurst,Queens County,40.7479833,-73.8746835
1965,Junius Street,Brownsville,Brownsville,Kings County,40.6603335,-73.9008479
1966,Brown Street,Sheepshead Bay,Sheepshead Bay,Kings County,40.585215,-73.937245
1967,Royce Street,Bergen Beach,Bergen Beach,Kings County,40.621997,-73.905326
1968,16th Avenue,Bayside,Bayside,Queens County,40.7838199,-73.78072
1969,35th Avenue,Jackson Heights,Jackson Heights,Queens County,40.7512999,-73.88932
1970,Bliss Street,Sunnyside,Sunnyside,Queens County,40.7493599,-73.91745
1971,65th Place,Flushing,Flushing,Queens County,40.7374104,-73.9002424
1972,Harbour Court,Great Kills,Great Kills,Richmond County,40.5383835,-74.1433088
1973,66th Avenue,Forest Hills,Forest Hills,Queens County,40.7318103,-73.8443526
1974,East 120th Street,,Manhattan,New York County,40.8003622,-73.9373581
1975,East 43rd Street,,Manhattan,New York County,40.750236,-73.9707571
1976,,,Manhattan,New York County,40.7819299,-73.9807097
1977,Ocean Parkway,Midwood,Midwood,Kings County,40.621071,-73.969227
1978,Lenox Avenue,,Manhattan,New York County,40.810446,-73.943187
1979,209th Street,Flushing,Flushing,Queens County,40.7869532,-73.7833849
1980,Park Avenue,,Manhattan,New York County,40.765596,-73.967349
1981,Adam Clayton Powell Junior Boulevard,,Manhattan,New York County,40.8163359,-73.9434447
1982,193rd Street,Jamaica,Jamaica,Queens County,40.7288044,-73.7772174
1983,East 22nd Street,Midwood,Midwood,Kings County,40.6143817,-73.9525027
1984,Grand Central Parkway,Forest Hills,Forest Hills,Queens County,40.7379227,-73.8470718
1985,Imlay Street,Red Hook,Red Hook,Kings County,40.6811053,-74.0098135
1986,,Sheepshead Bay,Sheepshead Bay,Kings County,40.5844399,-73.9316116
1987,79th Street,Jamaica,Jamaica,Queens County,40.6951138,-73.8648093
1988,,Gravesend,Gravesend,Kings County,40.6050673,-73.9776246
1989,100th Avenue,Hollis,Hollis,Queens County,40.7099626,-73.7608766
1990,Broad Street,,Manhattan,New York County,40.7048255,-74.0118183
1991,1st Avenue,,Manhattan,New York County,40.7301239,-73.9834424
1992,Ralph Avenue,Flatlands,Flatlands,Kings County,40.627685,-73.918487
1993,Riverdale Avenue,North Riverdale,North Riverdale,Bronx County,40.9127295,-73.9022248
1994,Chevy Chase Street,Jamaica,Jamaica,Queens County,40.7199051,-73.7781913
1995,Corona Avenue,Elmhurst,Elmhurst,Queens County,40.7424208,-73.8687143
1996,Poi Court,New Springville,New Springville,Richmond County,40.5887531,-74.1613951
1997,7th Avenue,Flushing,Flushing,Queens County,40.790645,-73.846559
1998,West 43rd Street,,Manhattan,New York County,40.7602412,-73.9954328
1999,Ridge Boulevard,Bay Ridge,Bay Ridge,Kings County,40.633166,-74.0303565
2000,Milford Street,East New York,East New York,Kings County,40.6742588,-73.8767881
2001,Spring Street,,Manhattan,New York County,40.7242452,-74.0008671
2002,Dean Avenue,East Bronx,East Bronx,Bronx County,40.8325495,-73.8167031
2003,52nd Street,Mapleton,Mapleton,Kings County,40.6259793,-73.9821859
2004,Thompson Street,,Manhattan,New York County,40.7257358,-74.0017575
2005,120th Street,Jamaica,Jamaica,Queens County,40.6743844,-73.8184378
2006,3rd Avenue,,Manhattan,New York County,40.7412931,-73.981837
2007,78th Street,Elmhurst,Elmhurst,Queens County,40.7438826,-73.8873872
2008,West 9th Street,Bensonhurst,Bensonhurst,Kings County,40.6094603,-73.9831636
2009,Country Drive South,New Springville,New Springville,Richmond County,40.5872305,-74.1641299
2010,East 72nd Street,,Manhattan,New York County,40.7711516,-73.9646688
2011,West 12th Street,,Manhattan,New York County,40.7373809,-74.0040989
2012,26th Avenue,Flushing,Flushing,Queens County,40.7731565,-73.8027586
2013,17th Avenue,Whitestone,Whitestone,Queens County,40.7828417,-73.8000905
2014,Lefferts Place,Bedford-Stuyvesant,Bedford-Stuyvesant,Kings County,40.6804045,-73.9573819
2015,East 16th Street,,Manhattan,New York County,40.7345957,-73.9855511
2016,East 60th Street,,Manhattan,New York County,40.7603031,-73.9610497
2017,West End Avenue,,Manhattan,New York County,40.7821377,-73.9824061
2018,Bennett Avenue,Woodrow,Woodrow,Richmond County,40.5365656,-74.1839422
2019,126th Street,Flushing,Flushing,Queens County,40.7903373,-73.8420291
2020,115th Avenue,Jamaica,Jamaica,Queens County,40.6787631,-73.8121482
2021,110th Street,Flushing,Flushing,Queens County,40.7213566,-73.8414009
2022,Brighton 5th Street,Brighton Beach,Brighton Beach,Kings County,40.5786954,-73.9626508
2023,98th Place,Rego Park,Rego Park,Queens County,40.7318415,-73.8574816
2024,Cruger Avenue,East Bronx,East Bronx,Bronx County,40.8527259,-73.8670374
2025,,,Manhattan,New York County,40.7405179,-73.9881093
2026,West 103rd Street,,Manhattan,New York County,40.7992102,-73.9695499
2027,Cabrini Boulevard,,Manhattan,New York County,40.853549,-73.9392769
2028,Maryland Avenue,Rosebank,Rosebank,Richmond County,40.608288,-74.07426
2029,West 7th Street,Bensonhurst,Bensonhurst,Kings County,40.6088021,-73.9805695
2030,Brigham Street,Sheepshead Bay,Sheepshead Bay,Kings County,40.5977235,-73.9352176
2031,64th Avenue,Forest Hills,Forest Hills,Queens County,40.7339078,-73.845842
2032,120th Street,Flushing,Flushing,Queens County,40.787297,-73.848086
2033,41st Road,Flushing,Flushing,Queens County,40.7565584,-73.8317042
2034,89th Street,Fort Hamilton,Fort Hamilton,Kings County,40.6214197,-74.0328467
2035,West 70th Street,,Manhattan,New York County,40.7776749,-73.9829506
2036,Waldo Avenue,Kingsbridge,Kingsbridge,Bronx County,40.8874214,-73.9034179
2037,West 34th Street,,Manhattan,New York County,40.7536573,-73.9975607
2038,West 23 Street,,Manhattan,New York County,40.7423282,-73.9911409
2039,Robinson Avenue,Eltingville,Eltingville,Richmond County,40.544867,-74.159159
2040,Duke Ellington Circle,,Manhattan,New York County,40.7961886,-73.949116
2041,West 57th Street,,Manhattan,New York County,40.768983,-73.987526
2042,5th Avenue,,Manhattan,New York County,40.7340159,-73.9946266
2043,Degraw Street,Columbia Street Waterfront District,Columbia Street Waterfront District,Kings County,40.6857092,-74.003264
2044,Falmouth Street,Manhattan Beach,Manhattan Beach,Kings County,40.577846,-73.946577
2045,Hutchinson River Parkway,Pelham Bay,Pelham Bay,Bronx County,40.8464353,-73.8358298
2046,Liberty Place,,Manhattan,New York County,40.7088048,-74.009407
2047,North Henry Street,Greenpoint,Greenpoint,Kings County,40.7213959,-73.9430921
2048,Estates Lane,Bayside,Bayside,Queens County,40.7878758,-73.786717
2049,Edgewater Park,East Bronx,East Bronx,Bronx County,40.8224967,-73.8110903
2050,Garfield Avenue,Flushing,Flushing,Queens County,40.7358829,-73.8988063
2051,81st Street,Flushing,Flushing,Queens County,40.772306,-73.8896045
2052,Avenue D,Little Haiti,Little Haiti,Kings County,40.6410944,-73.9490931
2053,Henry Hudson Parkway West,Hudson Hill,Hudson Hill,Bronx County,40.8952914,-73.9089308
2054,Waverly Place,,Manhattan,New York County,40.7326368,-73.998918
2055,Pitkin Avenue,East New York,East New York,Kings County,40.6756643,-73.8687143
2056,,,Manhattan,New York County,40.7490288,-73.9719957
2057,5th Street,Park Slope,Park Slope,Kings County,40.6694134,-73.9802538
2058,Avenue Z,Sheepshead Bay,Sheepshead Bay,Kings County,40.590397,-73.935927
2059,Pine Street,,Manhattan,New York County,40.7069134,-74.0085778
2060,Mercer Street,,Manhattan,New York County,40.7265669,-73.9967609
2061,William Street,,Manhattan,New York County,40.7081041,-74.0074731
2062,Sterling Place,Crown Heights,Crown Heights,Kings County,40.6727282,-73.9497962
2063,West 52nd Street,,Manhattan,New York County,40.7641121,-73.9862772
2064,Austin Street,Jamaica,Jamaica,Queens County,40.7061049,-73.8263931
2065,17th Road,Flushing,Flushing,Queens County,40.7832802,-73.8149701
2066,40th Road,Flushing,Flushing,Queens County,40.7561213,-73.8368085
2067,62nd Avenue,Douglaston,Douglaston,Queens County,40.7554479,-73.7319604
2068,Amboy Road,Tottenville,Tottenville,Richmond County,40.515005,-74.235135
2069,Clay Avenue,Concourse Village,Concourse Village,Bronx County,40.8282987,-73.91272
2070,East 46th Street,Little Caribbean,Little Caribbean,Kings County,40.6502862,-73.9343518
2071,Greencroft Avenue,Bay Terrace,Bay Terrace,Richmond County,40.5513508,-74.1356934
2072,Riverside Drive,,Manhattan,New York County,40.7840425,-73.9833243
2073,Roanoke Street,Manor Heights,Manor Heights,Richmond County,40.5972983,-74.1347274
2074,West 55th Street,,Manhattan,New York County,40.7622732,-73.9767193
2075,West 3rd Street,Gravesend,Gravesend,Kings County,40.603454,-73.9756682
2076,Dupont Street,Greenpoint,Greenpoint,Kings County,40.7361991,-73.9538716
2077,Pitman Avenue,East Bronx,East Bronx,Bronx County,40.8955154,-73.8510754
2078,190th Street,Flushing,Flushing,Queens County,40.7603734,-73.7918178
2079,Schenck Avenue,East New York,East New York,Kings County,40.6574259,-73.8808077
2080,East 69th Street,,Manhattan,New York County,40.7703119,-73.967354
2081,East 19th Street,Homecrest,Homecrest,Kings County,40.6096365,-73.9544149
2082,West 111th Street,,Manhattan,New York County,40.8043692,-73.964408
2083,East 89th Street,,Manhattan,New York County,40.7805098,-73.9523992
2084,East 79th Street,,Manhattan,New York County,40.7737882,-73.9551436
2085,Madison Street,Flushing,Flushing,Queens County,40.7063804,-73.9009749
2086,Sullivan Place,Crown Heights,Crown Heights,Kings County,40.6644629,-73.951745
2087,Boynton Avenue,East Bronx,East Bronx,Bronx County,40.8214206,-73.8759785
2088,Queens Boulevard,Flushing,Flushing,Queens County,40.7155654,-73.8311146
2089,Broadway,,Manhattan,New York County,40.7770746,-73.9824749
2090,West End Avenue,Manhattan Beach,Manhattan Beach,Kings County,40.5782536,-73.9534785
2091,Horace Harding Expressway,Flushing,Flushing,Queens County,40.7427492,-73.8333091
2092,Wooster Street,,Manhattan,New York County,40.7238868,-74.0021541
2093,West End Avenue,,Manhattan,New York County,40.7779612,-73.9854593
2094,90th Street,Jackson Heights,Jackson Heights,Queens County,40.7525699,-73.87724
2095,172nd Street,Jamaica,Jamaica,Queens County,40.7181351,-73.7934614
2096,,,Manhattan,New York County,40.8501059,-73.9387857
2097,Bedford Avenue,Bedford-Stuyvesant,Bedford-Stuyvesant,Kings County,40.6972584,-73.9569997
2098,71st Avenue,Flushing,Flushing,Queens County,40.7282764,-73.8208847
2099,East 63rd Street,,Manhattan,New York County,40.7617185,-73.9587133
2100,Woodbine Street,Flushing,Flushing,Queens County,40.7085881,-73.8934355
2101,Lincoln Place,Crown Heights,Crown Heights,Kings County,40.670429,-73.9411141
2102,Brighton Avenue,Mid Island,Mid Island,Richmond County,40.6352888,-74.090616
2103,Broadway,Astoria,Astoria,Queens County,40.7669131,-73.9342893
2104,Clinton Street,,Manhattan,New York County,40.7210845,-73.9842397
2105,Metropolitan Avenue,Parkchester,Parkchester,Bronx County,40.8391003,-73.8566691
2106,Avenue H,Flatbush,Flatbush,Kings County,40.6302066,-73.962272
2107,Mott Street,,Manhattan,New York County,40.7250022,-73.9938611
2108,,Fort Hamilton,Fort Hamilton,Kings County,40.617623,-74.038637
2109,Avenue H,Flatlands,Flatlands,Kings County,40.6324811,-73.9306778
2110,Ocean Avenue,Homecrest,Homecrest,Kings County,40.610069,-73.9537478
2111,East 15th Street,Homecrest,Homecrest,Kings County,40.5935138,-73.9556712
2112,,,Manhattan,New York County,40.7474421,-73.9813221
2113,Union Turnpike,Kew Gardens Hills,Kew Gardens Hills,Queens County,40.7187728,-73.811168
2114,Amboy Road,Great Kills,Great Kills,Richmond County,40.5475295,-74.1568654
2115,East 34th Street,Little Haiti,Little Haiti,Kings County,40.6499215,-73.9453734
2116,Park Avenue,,Manhattan,New York County,40.7824395,-73.9561648
2117,93rd Street,East Elmhurst,East Elmhurst,Queens County,40.7586799,-73.8755
2118,East 224th Street,East Bronx,East Bronx,Bronx County,40.8865894,-73.8585038
2119,Wilson Avenue,Eltingville,Eltingville,Richmond County,40.5477774,-74.160225
2120,West 130th Street,,Manhattan,New York County,40.8150812,-73.9533178
2121,Whitman Drive,Mill Basin,Mill Basin,Kings County,40.6093711,-73.9025693
2122,West 113th Street,,Manhattan,New York County,40.802892,-73.957154
2123,66th Road,Flushing,Flushing,Queens County,40.7282586,-73.8513251
2124,Grove Street,,Manhattan,New York County,40.7328257,-74.0048853
2125,West 181st Street,,Manhattan,New York County,40.8511616,-73.9408472
2126,National Drive,Mill Basin,Mill Basin,Kings County,40.6063914,-73.9020181
2127,Classon Avenue,Bedford-Stuyvesant,Bedford-Stuyvesant,Kings County,40.685396,-73.959061
2128,86th Street,Fort Hamilton,Fort Hamilton,Kings County,40.6229377,-74.0298947
2129,Bridge Street,Downtown Brooklyn,Downtown Brooklyn,Kings County,40.7019045,-73.9844236
2130,45th Street,Sunset Park,Sunset Park,Kings County,40.6512263,-74.0131317
2131,East 63rd Street,,Manhattan,New York County,40.764757,-73.965815
2132,East 60th Street,,Manhattan,New York County,40.762566,-73.9667017
2133,East 82nd Street,,Manhattan,New York County,40.778129,-73.9598269
2134,East 126th Street,,Manhattan,New York County,40.8062253,-73.9393116
2135,16th Avenue,Bayside,Bayside,Queens County,40.785705,-73.778612
2136,138th Street,Flushing,Flushing,Queens County,40.7313319,-73.8284665
2137,Central Park South,,Manhattan,New York County,40.7659315,-73.9773407
2138,East 70th Street,,Manhattan,New York County,40.7678195,-73.9594251
2139,Bridge Street,Downtown Brooklyn,Downtown Brooklyn,Kings County,40.6925905,-73.9849373
2140,Pacific Street,Boerum Hill,Boerum Hill,Kings County,40.6859683,-73.9839494
2141,85th Street,Jackson Heights,Jackson Heights,Queens County,40.7507495,-73.8811907
2142,Correll Avenue,Rossville,Rossville,Richmond County,40.545028,-74.218133
2143,Empire Boulevard,Little Caribbean,Little Caribbean,Kings County,40.6634769,-73.936924
2144,95th Street,Flushing,Flushing,Queens County,40.7602045,-73.8739584
2145,East 22nd Street,Flatbush,Flatbush,Kings County,40.6452346,-73.9569371
2146,6th Avenue,Park Slope,Park Slope,Kings County,40.670754,-73.981349
2147,West 162nd Street,,Manhattan,New York County,40.8351954,-73.9390016
2148,Park Lane,Mid Island,Mid Island,Richmond County,40.619844,-74.0889182
2149,Decatur Street,Stuyvesant Heights,Stuyvesant Heights,Kings County,40.6813796,-73.9323311
2150,Johnson Avenue,Spuyten Duyvil,Spuyten Duyvil,Bronx County,40.8801731,-73.91173
2151,33rd Street,Astoria,Astoria,Queens County,40.7749092,-73.9098235
2152,Hastings Street,Manhattan Beach,Manhattan Beach,Kings County,40.5782802,-73.9442713
2153,Franklin Street,,Manhattan,New York County,40.7193802,-74.0075316
2154,Herkimer Street,Bedford-Stuyvesant,Bedford-Stuyvesant,Kings County,40.6783124,-73.928113
2155,86th Avenue,Floral Park,Floral Park,Queens County,40.7326463,-73.7097434
2156,Central Park West,,Manhattan,New York County,40.7836703,-73.9709274
2157,East 78th Street,,Manhattan,New York County,40.7756853,-73.9632303
2158,89th Street,Fort Hamilton,Fort Hamilton,Kings County,40.622512,-74.038316
2159,80th Street,Jackson Heights,Jackson Heights,Queens County,40.7490728,-73.8859424
2160,East 83rd Street,,Manhattan,New York County,40.777093,-73.956552
2161,Deems Avenue,Mid Island,Mid Island,Richmond County,40.6172199,-74.1320669
2162,Dean Street,Crown Heights,Crown Heights,Kings County,40.6764806,-73.9446731
2163,81st Street,Dyker Heights,Dyker Heights,Kings County,40.6220567,-74.0200513
2164,Riverside Drive,,Manhattan,New York County,40.7954592,-73.9753123
2165,Gramercy Park North,,Manhattan,New York County,40.7385938,-73.9863188
2166,8th Avenue,Sunset Park,Sunset Park,Kings County,40.6423834,-74.002033
2167,Beach 126th Street,Rockaway Park,Rockaway Park,Queens County,40.5792491,-73.8470867
2168,Ilion Avenue,Jamaica,Jamaica,Queens County,40.7021006,-73.7671144
2169,Oriental Boulevard,Manhattan Beach,Manhattan Beach,Kings County,40.5786958,-73.938485
2170,Bushwick Avenue,Bushwick,Bushwick,Kings County,40.6850765,-73.9107349
2171,5th Avenue,,Manhattan,New York County,40.7719126,-73.967281
2172,East 117th Street,,Manhattan,New York County,40.7981001,-73.9389098
2173,West 19th Street,,Manhattan,New York County,40.7432035,-74.0015019
2174,217th Street,Queens Village,Queens Village,Queens County,40.7079268,-73.7400399
2175,6th Avenue,,Manhattan,New York County,40.7315509,-74.0013914
2176,Greene Street,,Manhattan,New York County,40.7207039,-74.0027289
2177,West 141st Street,,Manhattan,New York County,40.8233518,-73.9515728
2178,East 25th Street,,Manhattan,New York County,40.7395218,-73.9802307
2179,29th Street,Astoria,Astoria,Queens County,40.7668236,-73.9239725
2180,Broome Street,,Manhattan,New York County,40.7242197,-74.0056368
2181,East 28th Street,Sheepshead Bay,Sheepshead Bay,Kings County,40.5846429,-73.9407155
2182,Netherland Avenue,North Riverdale,North Riverdale,Bronx County,40.9049984,-73.9065719
2183,Central Park West,,Manhattan,New York County,40.7935585,-73.9656011
2184,136th Street,Flushing,Flushing,Queens County,40.7398861,-73.8305343
2185,West 93rd Street,,Manhattan,New York County,40.7908539,-73.9681725
2186,Riverdale Avenue,Spuyten Duyvil,Spuyten Duyvil,Bronx County,40.8809305,-73.9107494
2187,Morgan Avenue,Bushwick,Bushwick,Kings County,40.7043492,-73.9310947
2188,East 51st Street,,Manhattan,New York County,40.7553475,-73.9673212
2189,East 54th Street,,Manhattan,New York County,40.7571764,-73.9656764
2190,Fort Place,Mid Island,Mid Island,Richmond County,40.6414367,-74.0802253
2191,Oxford Avenue,Riverdale,Riverdale,Bronx County,40.8858375,-73.9088586
2192,East 90th Street,,Manhattan,New York County,40.7810446,-73.9519172
2193,Britton Avenue,Park Hill,Park Hill,Richmond County,40.6086959,-74.0859469
2194,15th Avenue,Bath Beach,Bath Beach,Kings County,40.6049171,-74.0166722
2195,Sheldon Avenue,Woodrow,Woodrow,Richmond County,40.5450461,-74.1858995
2196,Hill Street,Cypress Hills,Cypress Hills,Kings County,40.6789407,-73.8712984
2197,Yellowstone Boulevard,Forest Hills,Forest Hills,Queens County,40.7230099,-73.84699
2198,Long Pond Lane,Park Hill,Park Hill,Richmond County,40.6155659,-74.0802854
2199,East 46th Street,,Manhattan,New York County,40.7520734,-73.9690003
2200,Franklin Avenue,Williamsburg,Williamsburg,Kings County,40.6990196,-73.9587153
2201,Brooklyn Avenue,Crown Heights,Crown Heights,Kings County,40.677099,-73.9444709
2202,Amsterdam Avenue,Bulls Head,Bulls Head,Richmond County,40.6033161,-74.1679729
2203,75th Street,Jackson Heights,Jackson Heights,Queens County,40.7499534,-73.8912443
2204,Central Park West,,Manhattan,New York County,40.7868701,-73.9686086
2205,Quincy Avenue,Midland Beach,Midland Beach,Richmond County,40.5771876,-74.0829699
2206,87th Street,Flushing,Flushing,Queens County,40.7569734,-73.8811062
2207,Park Avenue,,Manhattan,New York County,40.7761296,-73.960619
2208,Windham Loop,New Springville,New Springville,Richmond County,40.5781826,-74.1626869
2209,West 138th Street,,Manhattan,New York County,40.8188422,-73.9456834
2210,217th Street,Flushing,Flushing,Queens County,40.7644884,-73.7660572
2211,Avenue of the Americas,,Manhattan,New York County,40.7361563,-73.9977295
2212,Sterling Street,Prospect Lefferts Gardens,Prospect Lefferts Gardens,Kings County,40.6631136,-73.9544199
2213,Bay Terrace,Bay Terrace,Bay Terrace,Richmond County,40.5559755,-74.1387681
2214,Walker Street,,Manhattan,New York County,40.7189873,-74.0038646
2215,Chambers Street,,Manhattan,New York County,40.714922,-74.0070262
2216,Cropsey Avenue,,Brooklyn,Kings County,40.5868122,-73.9890289
2217,Fenimore Street,Prospect Lefferts Gardens,Prospect Lefferts Gardens,Kings County,40.6586064,-73.9488175
2218,West 52nd Street,,Manhattan,New York County,40.7647904,-73.9890812
2219,Ocean Parkway,Gravesend,Gravesend,Kings County,40.5941381,-73.963948
2220,,,Manhattan,New York County,40.7819874,-73.9578067
2221,West End Avenue,,Manhattan,New York County,40.7895088,-73.9778147
2222,Hollywood Avenue,East Bronx,East Bronx,Bronx County,40.8232894,-73.8169443
2223,Park Avenue,,Manhattan,New York County,40.7629604,-73.9705452
2224,Bay Ridge Avenue,Bensonhurst,Bensonhurst,Kings County,40.6186892,-73.9952499
2225,9th Avenue,,Manhattan,New York County,40.7443659,-74.0025913
2226,West 163rd Street,,Manhattan,New York County,40.8375103,-73.9407123
2227,,Bay Ridge,Bay Ridge,Kings County,40.6308291,-74.0250165
2228,Sinclair Avenue,Woodrow,Woodrow,Richmond County,40.5423923,-74.1955899
2229,Chambers Street,,Manhattan,New York County,40.7141198,-74.0066281
2230,Adams Street,Downtown Brooklyn,Downtown Brooklyn,Kings County,40.6965776,-73.9883987
