,route,neighbourhood,sublocality,administrative_area,lat,long
1514,4th Street,Park Slope,Park Slope,Kings County,40.6708384,-73.9812037
1515,117th Street,Richmond Hill,Richmond Hill,Queens County,40.7046248,-73.8349003
1516,West 49th Street,,Manhattan,New York County,40.7631417,-73.9906014
1517,Mount Morris Park West,,Manhattan,New York County,40.806166,-73.9448308
1518,West 138th Street,,Manhattan,New York County,40.8186279,-73.9460737
1519,East 34th Street,,Manhattan,New York County,40.746232,-73.978689
1520,East Augusta Avenue,Great Kills,Great Kills,Richmond County,40.5529274,-74.159159
1521,Horatio Street,,Manhattan,New York County,40.7385868,-74.0078404
1522,West 22nd Street,,Manhattan,New York County,40.7476234,-74.0057263
1523,Thomas S Boyland Street,Brownsville,Brownsville,Kings County,40.6609696,-73.9111929
1524,East 55th Street,East Flatbush,East Flatbush,Kings County,40.6430292,-73.9248566
1525,North Railroad Avenue,Midland Beach,Midland Beach,Richmond County,40.5882303,-74.0975793
1526,Richmond Terrace,Mariners Harbor,Mariners Harbor,Richmond County,40.6364,-74.154146
1527,Jackson Street,Williamsburg,Williamsburg,Kings County,40.7169665,-73.94377
1528,44th Street,Sunset Park,Sunset Park,Kings County,40.649346,-74.0086998
1529,West 123rd Street,,Manhattan,New York County,40.808174,-73.951091
1530,East 59th Street,Mill Basin,Mill Basin,Kings County,40.6152328,-73.9176941
1531,Seward Avenue,East Bronx,East Bronx,Bronx County,40.821432,-73.8474428
1532,Troy Avenue,Flatlands,Flatlands,Kings County,40.628358,-73.9339729
1533,Corporal Kennedy Street,Bayside,Bayside,Queens County,40.779366,-73.7827644
1534,45th Drive,Flushing,Flushing,Queens County,40.7593442,-73.7673557
1535,Middle Loop Road,Eltingville,Eltingville,Richmond County,40.5546818,-74.1625533
1536,6th Avenue,,Manhattan,New York County,40.734266,-73.9987024
1537,West 96th Street,,Manhattan,New York County,40.792204,-73.9655642
1538,23rd Avenue,Flushing,Flushing,Queens County,40.7790999,-73.78125
1539,Melrose Street,Bushwick,Bushwick,Kings County,40.7031635,-73.9282437
1540,Kingsbridge Terrace,Fordham Manor,Fordham Manor,Bronx County,40.8697508,-73.905391
1541,100th Street,Fort Hamilton,Fort Hamilton,Kings County,40.6130693,-74.0344829
1542,Shore Road,Bay Ridge,Bay Ridge,Kings County,40.6347271,-74.036817
