,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE,SQFT_W,PRICE_W,BATH_clean,sublocality,administrative_area
2107,Pending,859000,3,2.0,1566.0,40.734,-73.846,7.356918242356021,13.663525365110068,2.0,Forest Hills,Queens County
2108,Multi-family home for sale,928888,4,2.0,1480.0,40.787,-73.848,7.300472814267799,13.741744527341883,2.0,Flushing,Queens County
2109,Condo for sale,780000,2,2.0,955.0,40.757,-73.832,6.862757913051401,13.567050480716235,2.0,Flushing,Queens County
2110,House for sale,1190000,3,2.0,1360.0,40.621,-74.033,7.215975002651466,13.989464705423494,2.0,Fort Hamilton,Kings County
2111,Co-op for sale,1400000,2,2.0,900.0,40.778,-73.983,6.803505257608338,14.151983508870947,2.0,Manhattan,New York County
2112,Co-op for sale,599000,2,1.0,1100.0,40.749,-73.978,7.00397413672268,13.303018546545275,1.0,Manhattan,New York County
2113,Condo for sale,639999,3,2.0,1180.0,40.887,-73.903,7.074116816197362,13.369223455335854,2.0,Kingsbridge,Bronx County
2114,Co-op for sale,799000,1,1.0,900.0,40.754,-73.998,6.803505257608338,13.591117476312084,1.0,Manhattan,New York County
2115,Condo for sale,14950000,3,4.0,3228.0,40.742,-73.991,8.079927770758275,16.5202219246906,4.0,Manhattan,New York County
2116,House for sale,749000,3,2.0,1600.0,40.545,-74.159,7.3783837129967145,13.52649559761195,2.0,Eltingville,Richmond County
2117,Condo for sale,2999999,4,4.0,3100.0,40.796,-73.949,8.03947991910045,14.914122846632385,4.0,Manhattan,New York County
2118,Pending,599000,2,3.0,1566.0,40.769,-73.988,7.356918242356021,13.303018546545275,3.0,Manhattan,New York County
2119,Co-op for sale,2700000,2,2.0,900.0,40.734,-73.995,6.803505257608338,14.80876270134486,2.0,Manhattan,New York County
2120,Townhouse for sale,3995000,4,4.0,3412.0,40.686,-74.003,8.135346948906706,15.200554387495371,4.0,Columbia Street Waterfront District,Kings County
2121,House for sale,2235000,3,4.0,2750.0,40.578,-73.947,7.919719760924575,14.619752233457,4.0,Manhattan Beach,Kings County
2122,House for sale,620000,3,2.0,1400.0,40.846,-73.836,7.244941546337007,13.3374763699232,2.0,Pelham Bay,Bronx County
2123,Co-op for sale,1695000,4,4.0,900.0,40.709,-74.009,6.803505257608338,14.343193888767015,4.0,Manhattan,New York County
2124,Condo for sale,1999999,3,2.0,1865.0,40.721,-73.943,7.531552381407289,14.508657738524219,2.0,Greenpoint,Kings County
2125,Condo for sale,1150000,2,2.0,1850.0,40.788,-73.787,7.523481312573497,13.955273369904273,2.0,Bayside,Queens County
2126,Co-op for sale,339000,2,1.0,822.0,40.822,-73.811,6.71295620067707,12.733758336210744,1.0,East Bronx,Bronx County
2127,House for sale,1390000,5,2.0,1728.0,40.736,-73.899,7.455298485683291,14.144815024531075,2.0,Flushing,Queens County
2128,House for sale,938000,3,2.0,1836.0,40.772,-73.89,7.515889085215125,13.751506294085875,2.0,Flushing,Queens County
2129,House for sale,919000,6,3.0,5400.0,40.641,-73.949,8.594339400592892,13.731042489476513,3.0,Little Haiti,Kings County
2130,Co-op for sale,425000,3,2.0,1150.0,40.895,-73.909,7.048386408721883,12.959846800844963,2.0,Hudson Hill,Bronx County
2131,Townhouse for sale,19995000,6,2.3738608579684373,8300.0,40.733,-73.999,9.024131268455035,16.810992850275557,2.0,Manhattan,New York County
2132,Multi-family home for sale,1249000,5,2.0,2680.0,40.676,-73.869,7.893945138235959,14.037854589747907,2.0,East New York,Kings County
2133,Co-op for sale,799000,2,2.0,1000.0,40.749,-73.972,6.90875477931522,13.591117476312084,2.0,Manhattan,New York County
2134,Co-op for sale,475000,1,1.0,750.0,40.694,-73.994,6.621405651764134,13.07107218827772,1.0,Brooklyn Heights,Kings County
2135,Townhouse for sale,3800000,6,4.0,3340.0,40.669,-73.98,8.114025442356757,15.150511887854474,4.0,Park Slope,Kings County
2136,Co-op for sale,325000,3,1.0,1200.0,40.59,-73.936,7.0909098220799835,12.691583538230217,1.0,Sheepshead Bay,Kings County
2137,Condo for sale,1200000,2,2.0,1200.0,40.707,-74.009,7.0909098220799835,13.997832948091215,2.0,Manhattan,New York County
2138,House for sale,6975000,2,2.0,3050.0,40.727,-73.997,8.02322468471667,15.757843029040869,2.0,Manhattan,New York County
2139,Condo for sale,1150000,2,2.0,1100.0,40.708,-74.007,7.00397413672268,13.955273369904273,2.0,Manhattan,New York County
2140,House for sale,2400000,4,4.0,3424.0,40.673,-73.95,8.138856750696325,14.690979711984754,4.0,Crown Heights,Kings County
2141,Co-op for sale,3500000,4,4.0,2700.0,40.764,-73.986,7.901377353792616,15.068273812173887,4.0,Manhattan,New York County
2142,House for sale,769000,3,2.0,1728.0,40.706,-73.826,7.455298485683291,13.552847548877052,2.0,Jamaica,Queens County
2143,House for sale,2975000,4,4.0,2968.0,40.78,-73.947,7.99598047476376,14.905754933096265,4.0,Manhattan,New York County
2144,Multi-family home for sale,1860000,6,4.0,2680.0,40.783,-73.815,7.893945138235959,14.436087583323648,4.0,Flushing,Queens County
2145,Condo for sale,1250000,2,2.0,1257.0,40.756,-73.837,7.1372784372603855,14.038654909278163,2.0,Flushing,Queens County
2146,Co-op for sale,220000,1,1.0,750.0,40.755,-73.732,6.621405651764134,12.301387370778713,1.0,Douglaston,Queens County
2147,Multi-family home for sale,1179987,5,4.0,4143.0,40.515,-74.235,8.329416783939319,13.981014826898612,4.0,Tottenville,Richmond County
2148,Multi-family home for sale,949000,7,6.0,3733.0,40.828,-73.913,8.225235324101668,13.76316513133229,6.0,Concourse Village,Bronx County
2149,House for sale,920000,5,4.0,1728.0,40.65,-73.934,7.455298485683291,13.732130035981154,4.0,Little Caribbean,Kings County
2150,Contingent,699000,3,2.0,1312.0,40.551,-74.136,7.180069874302796,13.457407451830088,2.0,Bay Terrace,Richmond County
