,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE,SQFT_W,PRICE_W,BATH_clean,sublocality,administrative_area
2225,Condo for sale,2099000,2,2.0,1447.0,40.702,-73.984,7.277938572945661,14.556972075219997,2.0,Downtown Brooklyn,Kings County
2226,Multi-family home for sale,1275000,5,3.0,1920.0,40.651,-74.013,7.560601162768557,14.058457520888082,3.0,Sunset Park,Kings County
2227,Multi-family home for sale,1999999,12,6.0,,40.714,-73.945,,14.508657738524219,6.0,Williamsburg,Kings County
2228,Townhouse for sale,10750000,8,2.3738608579684373,7327.0,40.765,-73.966,8.899457906353966,16.190416405561198,2.0,Manhattan,New York County
2229,Co-op for sale,650000,1,1.0,,40.763,-73.967,,13.384729180332174,1.0,Manhattan,New York County
2230,Co-op for sale,4800000,3,4.0,3475.0,40.778,-73.96,8.153637486385282,15.38412668421143,4.0,Manhattan,New York County
2231,Multi-family home for sale,1279900,3,2.3738608579684373,3812.0,40.806,-73.939,8.246171559857563,14.062293289154617,2.0,Manhattan,New York County
2232,Multi-family home for sale,1680000,7,4.0,3780.0,40.786,-73.779,8.237743803890933,14.33430494661736,4.0,Bayside,Queens County
2233,Co-op for sale,299000,1,1.0,850.0,40.731,-73.828,6.7464121285733745,12.608202196848836,1.0,Flushing,Queens County
2234,Co-op for sale,845000,1,1.0,,40.766,-73.977,,13.647093089770562,1.0,Manhattan,New York County
2235,Co-op for sale,415000,3,1.0,,40.768,-73.959,,12.936036208848487,1.0,Manhattan,New York County
2236,Co-op for sale,449000,1,2.0,1213.0,40.756,-73.721,7.101675971619444,13.014780393893403,2.0,Little Neck,Queens County
2237,Condo for sale,1250000,3,2.0,1287.0,40.693,-73.985,7.160845906664299,14.038654909278163,2.0,Downtown Brooklyn,Kings County
2238,Townhouse for sale,4395000,5,4.0,,40.686,-73.984,,15.295978316632674,4.0,Boerum Hill,Kings County
2239,Co-op for sale,315000,1,1.0,,40.751,-73.881,,12.660331092405906,1.0,Jackson Heights,Queens County
2240,Co-op for sale,499000,2,1.0,900.0,40.627,-74.026,6.803505257608338,13.120363378739663,1.0,Bay Ridge,Kings County
2241,House for sale,699000,3,2.0,1700.0,40.545,-74.218,7.438971592395862,13.457407451830088,2.0,Rossville,Richmond County
2242,Condo for sale,625000,4,2.0,1268.0,40.663,-73.937,7.1459844677143876,13.345508528717259,2.0,Little Caribbean,Kings County
2243,House for sale,749000,3,2.0,,40.76,-73.874,,13.52649559761195,2.0,Flushing,Queens County
2244,Multi-family home for sale,949000,4,2.0,1600.0,40.645,-73.957,7.3783837129967145,13.76316513133229,2.0,Flatbush,Kings County
2245,Co-op for sale,1495000,3,1.0,,40.671,-73.981,,14.217637433703022,1.0,Park Slope,Kings County
2246,Townhouse for sale,2395000,6,4.0,3972.0,40.835,-73.939,8.287276755814599,14.6888942063636,4.0,Manhattan,New York County
2247,House for sale,1250000,3,4.0,3328.0,40.62,-74.089,8.110427237575024,14.038654909278163,4.0,Mid Island,Richmond County
2248,Multi-family home for sale,3165000,9,5.0,,40.681,-73.932,,14.96766392951613,5.0,Stuyvesant Heights,Kings County
2249,Co-op for sale,205000,1,1.0,,40.88,-73.912,,12.230770136157428,1.0,Spuyten Duyvil,Bronx County
2250,Condo for sale,1198000,1,2.0,,40.775,-73.91,,13.996164892381724,2.0,Astoria,Queens County
2251,House for sale,2199000,3,3.0,3454.0,40.578,-73.944,8.14757773620177,14.603513724288955,3.0,Manhattan Beach,Kings County
2252,Co-op for sale,5495000,3,2.0,3000.0,40.719,-74.008,8.006700845440367,15.519349327803464,2.0,Manhattan,New York County
2253,Co-op for sale,625000,1,1.0,,40.767,-73.967,,13.345508528717259,1.0,Manhattan,New York County
2254,House for sale,1449999,3,2.3738608579684373,1890.0,40.678,-73.928,7.544861068658458,14.187074114396758,2.0,Bedford-Stuyvesant,Kings County
2255,House for sale,1399000,5,4.0,,40.733,-73.71,,14.151268968443645,4.0,Floral Park,Queens County
2256,Co-op for sale,525000,3,1.0,322.0,40.784,-73.971,5.777652323222656,13.171155446333852,1.0,Manhattan,New York County
2257,Townhouse for sale,12000000,4,2.3738608579684373,5500.0,40.776,-73.963,8.612685172875459,16.300417291085605,2.0,Manhattan,New York County
2258,House for sale,1299000,3,2.0,1700.0,40.623,-74.038,7.438971592395862,14.07710606547538,2.0,Fort Hamilton,Kings County
2259,Co-op for sale,269000,1,1.0,,40.749,-73.886,,12.502470376049185,1.0,Jackson Heights,Queens County
2260,Co-op for sale,450000,1,1.0,,40.777,-73.957,,13.017005083966255,1.0,Manhattan,New York County
2261,Multi-family home for sale,899999,4,2.0,2194.0,40.617,-74.132,7.693937325509272,13.710150042306449,2.0,Mid Island,Richmond County
2262,House for sale,925000,2,2.0,1077.0,40.676,-73.945,6.982862751468942,13.73755009757506,2.0,Crown Heights,Kings County
2263,Co-op for sale,279000,1,1.0,600.0,40.622,-74.02,6.398594934535208,12.53897064502647,1.0,Dyker Heights,Kings County
2264,Condo for sale,1795000,2,2.0,,40.795,-73.975,,14.400516137007425,2.0,Manhattan,New York County
2265,Pending,1250000,2,2.0,,40.739,-73.986,,14.038654909278163,2.0,Manhattan,New York County
2266,Condo for sale,560000,3,1.0,622.0,40.642,-74.002,6.434546518787453,13.235693848424024,1.0,Sunset Park,Kings County
2267,House for sale,999000,3,2.0,1260.0,40.579,-73.847,7.13966033596492,13.81451105863119,2.0,Rockaway Park,Queens County
2268,Multi-family home for sale,1188000,6,2.0,2186.0,40.702,-73.767,7.690286020676768,13.987782620655215,2.0,Jamaica,Queens County
2269,House for sale,948888,3,1.0,950.0,40.579,-73.938,6.85751406254539,13.763047105524546,1.0,Manhattan Beach,Kings County
2270,Condo for sale,735000,2,2.0,832.0,40.685,-73.911,6.725033642166843,13.507627138738266,2.0,Bushwick,Kings County
2271,Co-op for sale,3600000,3,4.0,,40.772,-73.967,,15.096444681204078,4.0,Manhattan,New York County
2272,Multi-family home for sale,1850000,8,4.0,5000.0,40.798,-73.939,8.517393171418904,14.430696737594902,4.0,Manhattan,New York County
2273,Co-op for sale,789000,2,1.0,,40.743,-74.002,,13.578522867254332,1.0,Manhattan,New York County
2274,House for sale,569000,3,1.0,,40.708,-73.74,,13.251637470576167,1.0,Queens Village,Queens County
2275,Condo for sale,1700000,2,2.0,1135.0,40.732,-74.001,7.035268599281097,14.346139397261565,2.0,Manhattan,New York County
2276,Condo for sale,12995000,4,4.0,4155.0,40.721,-74.003,8.332308352219117,16.3800753030104,4.0,Manhattan,New York County
2277,Co-op for sale,295000,2,1.0,613.0,40.823,-73.952,6.419994928147142,12.59473402514672,1.0,Manhattan,New York County
